"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,2.999,2626,8.072,3.43051193757423,12.7175177607051
"2",2,2.999,980,5.941,0.164677590108676,12.231110922317
"3",3,2.983,1229,7.491,-1.82650150983809,11.1695492215137
"4",4,2.911,328,6.439,7.79629857465845,11.012082069051
"5",5,2.647,6481,7.484,3.6720530155109,9.23615206777645
"6",6,2.999,4628,9.005,1.16848073509183,8.22561315713977
"7",7,2.995,1451,8.173,8.72419967163436,8.2966125852421
"8",8,2.994,1871,8.69,10.2741026914346,6.10433786676383
"9",9,2.999,19457,9.896,-1.24423156645378,5.74865396354609
"10",10,2.999,12503,9.156,5.70865350793462,5.69874243703371
"11",11,2.999,5408,9.048,8.1796058121921,4.1607869444282
"12",12,2.999,26274,9.032,2.7282001514231,3.40904732924128
"13",13,2.999,1794,7.727,11.7659942988542,3.4338342579621
"14",14,2.999,2764,7.868,5.76083610535013,2.02706894709327
"15",15,2.999,17138,6.643,3.49995804098708,0.690717478612458
"16",16,2.999,17690,7.918,-4.91716072846268,-0.218889850979814
"17",17,2.999,3782,8.653,-10.6638252551173,-0.860877093094147
"18",18,2.999,47760,8.995,3.21530218645625,-1.9083499441352
"19",19,2.999,16271,9.887,-6.72920847871966,-2.24056666652675
"20",20,2.999,6778,8.814,6.16243877876585,-2.82387897561849
"21",21,2.99,4769,8.589,-9.22340265963554,-3.607060272154
"22",22,2.999,15102,9.836,-4.24081613241315,-5.24283637129565
"23",23,2.999,16308,7.327,1.45849089884294,-5.4700880758287
"24",24,2.999,7224,8.751,5.9013223161352,-5.78061870652624
"25",25,2.999,7884,4.667,3.58838586209364,-5.94318155789645
"26",26,2.997,1168,7.083,-10.7877356941717,-6.54448021923399
"27",27,2.999,4828,6.46,1.91978575684449,-8.08934743817993
"28",28,2.957,1279,6.443,-7.88950972922626,-8.22033795898859
"29",29,2.999,1007,5.073,-5.87156375918907,-8.57443668615035
"30",30,2.999,2027,7.387,4.3795191668166,-8.74478049666767
