"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,2.888,99,3.89,0.928693794425629,12.5178771153059
"2",3,1.74,29,0.011,8.63154066710846,12.1632414107945
"3",4,2.253,11,0.007,-3.48814236085805,10.8363987561645
"4",5,2.985,201,3.834,4.47573060591104,9.43620597689128
"5",6,2.989,70,1.249,-1.32645384520015,9.24939223762702
"6",7,2.999,1004,5.84,1.8874511507373,9.19490770843124
"7",8,2.994,5569,6.952,4.1884769283508,7.34461515313525
"8",9,2.998,1615,6.259,-0.151306665718718,7.12979670430637
"9",10,2.999,54743,9.093,-1.79852177990658,3.75054906557053
"10",11,2.999,13071,8.794,-5.67900247603449,3.26191149212473
"11",12,2.276,5,0.003,7.86466666666667,3.50933333333333
"12",13,2.999,749005,8.691,-0.680306271795772,1.53016246989923
"13",14,2.999,33235,9.737,3.73400141068216,1.74506876912483
"14",15,2.998,10439,8.448,-7.40942356968786,1.31017687031107
"15",16,2.999,7912,8.972,5.82780239876702,-0.33236277957428
"16",17,2.999,344165,9.254,2.31718132353647,-0.691716301657152
"17",18,2.999,152619,7.887,0.913082591988722,-2.74051186129191
"18",19,2.999,69980,8.461,-0.992511611241336,-3.82583973383975
"19",20,2.998,6693,8.539,5.23468969878698,-4.89036361316494
"20",21,2.999,5432,8.215,-2.7029408868818,-7.78143975044612
"21",22,2.999,802,5.027,-5.15283573119995,-8.42414528122157
