"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,2.286,136,0.822,5.23297761738711,13.7144908311577
"2",2,2.998,694,6.956,0.867865086723836,11.9825040303048
"3",3,2.999,1731,7.507,-3.27949258973976,11.2631436485252
"4",4,2.998,1128,6.39,-7.09361426524729,10.1720148349217
"5",5,2.997,2745,7.769,-10.1652027113058,9.04329475147097
"6",6,2.997,1376,6.841,0.574388250122503,9.15245582425131
"7",7,2.999,4440,7.915,8.84786635109431,9.08083904946329
"8",8,2.996,445,1.863,11.674519540909,8.63495218096029
"9",9,2.999,2396,6.633,-7.87114133869977,7.79511642943914
"10",10,2.997,421,4.062,-12.2684005147112,6.7556082617709
"11",11,2.999,2660,6.683,-7.30165448991046,5.91401246768005
"12",12,2.999,6612,8.757,-4.55915437129446,5.70047115843237
"13",13,2.862,3129,7.933,7.58961203147294,5.65201794277486
"14",14,2.999,13784,8.506,3.15829320023198,5.10796523325918
"15",15,2.899,619,4.116,-12.73656355477,4.08824143464656
"16",16,2.999,72951,7.659,0.990545274307599,2.94412140428406
"17",17,2.999,31755,6.957,2.86373608683916,2.07684385120735
"18",18,2.999,22665,7.584,5.1241339537482,2.23238798587892
"19",19,1.621,1376,4.013,12.7786156976575,1.49146043804486
"20",20,2.999,4897,8.794,-9.38663209297212,0.708143231248536
"21",21,2.999,9407,8.868,-6.58728731150529,0.75395111645142
"22",22,2.999,272742,6.808,-1.39757639275006,1.0038463759944
"23",23,2.994,2559,3.77,-13.908245441244,0.219346574118477
"24",24,2.999,540325,7.382,0.541334696831507,-0.0256165833608431
"25",25,2.999,246343,8.16,-2.39025438925434,-1.01811078522394
"26",26,2.999,63160,8.876,3.74133630482157,-1.62057095784405
"27",27,2.982,682,7.134,-11.149315324529,-3.29600142084517
"28",28,2.998,3772,4.345,1.41984464067399,-4.25839882795492
"29",29,2.998,2083,5.734,4.24953680245152,-4.17027826512353
"30",30,2.748,2155,4.374,-6.26720891486794,-5.4759880936799
"31",31,2.999,2694,7.499,6.30961409138357,-5.72356562954278
"32",33,2.999,16504,9.739,-2.24842409190755,-6.75531458056105
"33",34,2.999,13709,9.217,1.25211769085398,-7.7876504129024
"34",35,2.192,936,1.811,-4.28555815781822,-10.1962438176088
"35",36,2.996,3592,5.417,3.35373458423438,-11.7130877010267
"36",37,2.999,1150,5.437,-0.817363164939665,-11.750556379194
