"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,2.747,782,2.363,1.12297914468541,13.6680628045949
"2",2,2.096,275,0.612,5.58866102981304,13.5481635858548
"3",3,2.998,2400,5.41,-3.10080079726514,13.3615849851735
"4",4,2.909,747,4.13,3.37267782866066,13.1877132797066
"5",5,2.995,36,0.754,10.3168126942167,10.2872884717022
"6",6,2.999,3073,8.225,-5.3074643480369,9.86974689606878
"7",7,2.999,5489,9.086,2.68276015824217,9.73538256922109
"8",8,2.996,2859,8.964,-0.839747448047647,9.17477309051348
"9",9,2.985,2812,8.186,7.18279575494988,8.09306129592056
"10",10,2.995,1639,5.742,9.95061345602043,8.12195676987824
"11",11,2.816,193,0.641,12.5895906410488,6.78865433850432
"12",12,2.999,5598,7.43,-5.41065230848164,7.07030783964659
"13",13,2.999,5997,8.167,-3.07887137829897,6.8131006082998
"14",14,2.999,27108,9.928,3.22108472692652,5.259023156834
"15",15,1.896,10123,5.063,-5.24004297490141,3.82281456218822
"16",16,2.685,95,0.457,13.9526011651141,3.92252445276738
"17",17,2.999,3289,3.936,-13.8480934630387,1.46544869873748
"18",18,2.999,43583,9.936,3.7177709854745,1.23496595768608
"19",19,1.534,12994,2.039,-4.7013128181155,0.772094279629579
"20",20,2.63,7514,3.039,-6.77458418488277,-0.540486380337195
"21",21,1.558,100819,1.891,-0.316421203630576,-1.34714439218314
"22",22,2.997,960,2.297,-14.1147489478862,-1.86438350375226
"23",23,2.998,19457,8.553,6.19584357308847,-1.52687452558579
"24",24,1.615,22242,2.125,0.736565373979231,-3.25172052517893
"25",25,2.999,1998,5.731,8.04695726202664,-3.10198217795044
"26",26,2.999,17118,7.826,5.06205571801638,-3.90450991536286
"27",27,2.998,4159,7.072,-11.7688463441585,-4.64352652262555
"28",28,1.577,8078,2.185,-2.7385153398068,-5.23282046430238
"29",29,2.998,1547,5.239,6.91458562023374,-5.20672801531303
"30",30,1.511,2908,2.144,-7.73388588716001,-5.74023542301837
"31",31,2.999,458,1.654,-11.4759784045692,-6.52124727682015
"32",32,1.796,2138,1.915,-2.21049790023567,-7.17424738490069
"33",33,2.994,169,0.275,-11.1920107712303,-9.78810250154895
"34",34,2.999,121,1.403,0.242723202291831,-13.3527622225627
"35",35,2.996,4606,6.191,-2.12987751412287,-13.3948015577502
