"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,2.992,3255,5.685,-5.33926592570417,5.90834298934577
"2",2,2.999,9779,5.963,-3.02855857728295,5.68808944903192
"3",3,2.877,1189,5.487,-8.09989171646211,2.5492550685048
"4",4,2.989,492,1.344,-11.4805526924496,0.252552048030614
"5",5,2.999,6007,4.823,-9.149053341488,-0.218014048663679
"6",6,2.999,696869,9.951,-0.787589177916418,0.267100112258845
"7",7,2.999,3332,8.981,-11.1952281405245,-1.74136670957309
"8",8,2.999,36760,9.788,-4.27480449435868,-1.72135775162536
"9",9,2.955,10443,8.39,-7.65170607210659,-3.4367246731401
"10",10,2.999,24561,8.684,-3.94084225240593,-4.74141855555721
"11",11,2.999,37020,8.755,-1.57479473411563,-5.25821908183978
