"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,2.993,1255,6.698,-1.91310113378353,11.4102668479538
"2",3,2.991,758,6.236,6.7432340057521,9.15262331249167
"3",4,2.988,765,2.862,-11.9320854274397,8.05712999275585
"4",5,2.999,13155,9.404,-2.25296017093864,7.19811647574772
"5",6,2.994,482,0.7,-8.75465800740631,4.41702695181994
"6",7,2.994,3429,7.985,5.33069185441321,4.53270276431614
"7",8,2.999,42092,9.166,1.18955191057541,4.28600493925816
"8",9,2.998,674,5.831,10.8959864526119,4.62856683774755
"9",10,2.823,957,1.583,-13.9858357819848,2.05699698348879
"10",11,2.999,11455,8.312,-8.80777858669987,2.66959386913191
"11",12,2.999,50603,7.211,3.01380779604141,2.63959165883004
"12",13,2.106,79133,4.096,-0.752491063872729,1.75615380493995
"13",14,2.999,31767,7.918,4.95619377257879,1.60986524790717
"14",15,2.456,3382,1.956,-13.9503455344659,-1.07609502574454
"15",16,1.635,27824,3.138,2.66869056544088,-1.39565580500701
"16",17,1.518,12803,2.2,-1.73850974974429,-3.23804727567527
"17",18,2.002,676,1.586,2.22407678043266,-5.67516840427654
