"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,2.992,309,1.176,-6.01216264238296,13.1711292061012
"2",2,2.999,618,4.424,0.393947904341878,13.6807049352047
"3",3,2.99,781,5.049,-1.74424884067341,13.1960017476587
"4",4,2.994,1617,8.524,2.83140358566134,12.1024651310424
"5",5,2.619,157,0.825,7.45894965082624,11.8032647963808
"6",6,2.981,213,1.171,-10.7347093578519,9.92102579418384
"7",7,2.999,1117,7.501,-8.8794094203326,10.1490845731651
"8",8,2.465,3831,6.015,-1.77949871761006,10.2668477358316
"9",9,2.995,414,2.362,5.03155766643992,10.6158192747871
"10",10,2.996,964,5.447,-5.66447176066895,9.22052935730323
"11",11,2.999,6927,8.273,3.04959516976417,8.15860627527133
"12",12,2.682,1892,4.627,-2.3033618374599,7.90611594396769
"13",13,2.992,43,0.982,10.944739470948,6.73672523212338
"14",14,2.999,2500,5.462,-11.9754975778464,6.97650888722095
"15",15,2.995,2623,7.424,-6.91610569390981,7.30159131751517
"16",16,2.426,4017,4.563,-0.709182745330625,6.61805510903711
"17",17,2.998,2560,8.337,7.09712265366697,6.20379414652067
"18",18,2.999,3655,4.318,-5.851838617166,5.2097099061976
"19",19,2.999,54678,8.711,0.306999937513389,3.41244388414401
"20",20,2.755,1211,3.5,-8.4716356597054,2.68441174084681
"21",21,2.999,144024,5.858,-0.50270281943799,1.35898893547436
"22",22,2.999,43430,7.96,-3.22332167528562,0.704534389457941
"23",23,2.999,303705,6.956,1.7225471142419,0.697114834075816
"24",24,2.999,31571,7.395,-5.93097717850801,0.494025183591856
"25",25,2.999,376601,7.581,-0.869317583092009,-0.599217320705968
"26",26,2.999,27798,10.079,7.75382789142478,-0.255727719573987
"27",27,2.998,11528,8.638,-8.35614893639804,-0.774717782187647
"28",28,2.999,16485,6.263,-5.23110293094794,-1.52583885656537
"29",29,2.999,2807,8.497,-10.6924353406461,-2.34050691533046
"30",30,2.999,19120,8.514,-5.16537481203092,-3.83407642985802
"31",31,2.997,2196,6.109,11.970782518419,-4.61785985518988
"32",32,2.999,4818,8.978,-9.77865316020304,-4.71798948228558
"33",33,2.998,6792,8.078,-6.67051651617672,-5.78653425765498
"34",34,2.999,10193,8.507,3.28719649517095,-6.05840338107481
"35",35,2.988,2063,7.347,-11.0037121734657,-7.88207770846271
"36",36,2.992,1407,6.227,-2.95946691178281,-9.18151794195798
"37",37,2.589,1139,3.675,7.20496230746828,-9.46319293573399
"38",38,2.999,147,1.844,9.88204657460882,-9.92830892211101
"39",39,2.999,5021,8.918,3.2203037468415,-12.6666478496229
