"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,2.999,26593,9.749,-5.69264868250874,0.237954209529776
"2",2,2.999,628983,8.477,-0.682616399379066,0.502439348885545
"3",3,2.898,1499,6.564,-11.9744585698355,-1.34106818603431
"4",4,2.999,175339,8.569,-1.83686276739018,-1.48018915677423
"5",5,2.997,205,1.437,-13.3854220782965,-4.87487931082685
"6",6,2.982,2191,7.942,-10.2449875581543,-5.70837211411194
"7",7,2.999,15765,9.879,-1.26619671091808,-5.73229775811498
"8",8,2.999,3941,8.309,-6.6928945139724,-6.21716487747098
"9",9,2.994,441,2.556,0.214720584317556,-8.60464845898433
"10",10,2.998,2740,7.791,-2.65451458622676,-9.13177261057776
