"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,2.999,174216,8.458,-1.18761898657931,2.47900167992849
"2",2,2.999,277457,6.065,-1.94855405159693,0.747037544017204
"3",3,2.985,8623,3.491,4.9522897985852,0.462513136054765
"4",4,2.999,70078,7.163,-3.55537990599074,-0.714992976923282
"5",5,2.999,666634,6.513,-0.715228495452019,-1.05907533922603
"6",6,2.999,231860,6.144,1.56961601065108,-0.460187662865857
"7",7,2.999,86127,8.49,2.31852140432236,-2.49803752799123
"8",8,2.999,72836,8.391,-2.7453564311204,-3.30342371499296
"9",9,2.999,8589,8.843,4.61001669969213,-5.125789165911
"10",10,2.999,18000,9.444,-0.76874285449102,-5.68794952822844
"11",11,2.997,8157,8.103,-7.70452241363849,-6.56283930461595
"12",12,2.999,1164,4.032,-11.9002308023743,-7.24953683245443
"13",13,2.996,5734,8.065,-4.35651343584794,-8.10120688801948
"14",14,2.983,2117,7.077,-6.69155043185481,-9.00367477409841
"15",15,2.989,389,2.294,-7.90607391603431,-11.970466128663
"16",16,2.933,24,0.082,-5.74583434104798,-13.6156152336416
"17",17,2.421,52,0.157,-5.33029185136697,-13.3880123271232
