"","treeID","Z","npoints","convhull_area","X","Y"
"1",2,1.946,582,1.694,-4.00633340930161,13.6438518233911
"2",13,1.775,718,1.219,11.8015057370096,8.39216688140787
"3",23,1.941,3544,3.545,5.66631993548566,4.73211006771439
"4",34,1.299,1009,1.177,9.16608598004735,1.78644297098002
"5",55,1.631,880,1.037,-12.9908686242363,-6.5359667036353
"6",60,0.228,135,0.154,9.23753466297885,-7.25757259062547
"7",64,1.623,946,1.282,-2.35499734671516,-8.0171500146921
"8",65,1.12,535,0.516,-10.0404838454507,-8.45885779592728
"9",72,0.643,228,0.57,0.393506941716702,-13.9912661092718
