"","treeID","Z","npoints","convhull_area","X","Y"
"1",3,1.892,154,1.151,-8.63701175303708,10.9015814951566
"2",11,1.355,311,0.852,2.16699818644963,6.83155596267246
"3",12,1.56,535,1.806,11.1677705956293,6.26243431984902
"4",15,1.155,8325,2.917,-0.587497726856405,4.57280003215678
"5",28,0.469,400,0.189,4.76372294870574,0.769579343995089
"6",31,0.759,366,1.035,11.1284547519302,-0.29034195953985
"7",33,1.218,4279,1.206,3.58734476646745,-1.24458102912855
"8",40,1.569,1518,2.128,9.2555062759327,-5.2373072980304
