"","treeID","Z","npoints","convhull_area","X","Y"
"1",5,0.55,128,0.232,5.8337545337351,11.9214002182836
"2",8,0.791,237,0.206,3.23724890442653,6.7359350548737
"3",9,1.09,411,0.177,7.3050201289743,5.24523832427393
"4",10,1.145,6089,1.321,-0.754277222909998,4.6762514126956
"5",11,0.373,177,0.113,-12.6895559591614,2.2414831617029
"6",17,0.131,8282,0.23,1.23698539000951,-1.23245420281089
"7",18,0.137,6192,0.246,-1.25172930130877,-1.75202469854069
"8",20,0.478,1817,0.152,-3.23169631558419,-2.20865847053072
"9",26,0.108,169,1.303,7.78387166431544,-8.72191074033199
