"","treeID","Z","npoints","convhull_area","X","Y"
"1",3,1.944,766,1.34,-5.16250519570637,11.5849967505761
"2",8,1.224,259,0.164,-3.2567395071279,8.26671608179476
"3",10,0.869,570,0.132,-1.21904633552214,7.73128482413936
"4",12,0.149,358,0.173,4.27148398996008,5.29061491788066
"5",13,0.918,781,0.242,-0.249463657058755,4.75223276524921
"6",14,0.974,3089,1.564,2.75545883360943,4.77975146991812
"7",15,0.887,183,0.105,10.2084020094354,4.26229922886367
"8",19,0.589,2500,0.246,0.750048514566103,2.75281664988114
"9",20,1.594,641,1.625,7.69968528735908,2.67844046258632
"10",21,0.856,150,0.177,6.22813869143712,1.7081309887051
"11",25,0.871,2889,0.227,-3.24665559736947,0.772239940593375
"12",27,0.182,451,0.015,-0.0506850589565498,-0.914989867011253
"13",30,0.625,4235,0.235,-2.2546841322952,-1.23671687326726
"14",33,0.893,774,0.162,0.799927979453289,-3.18907035498664
"15",34,1.206,4771,1.553,3.2180856802146,-3.21690405914197
"16",35,0.311,104,0.174,-10.2331220240748,-4.24310615151524
"17",36,0.642,218,0.211,5.73561757716896,-4.23415114029403
"18",39,1.825,1278,1.725,-7.66795082349567,-6.16332938889803
"19",44,1.829,1059,2.135,1.23573127589182,-9.7279868098711
"20",48,1.038,417,0.959,-7.60199658182463,-12.1055825029792
