"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,2.77,56,0.007,1.25295821613175,13.9794144728934
"2",2,2.967,23,0.491,7.46639562603332,12.0314439813825
"3",3,2.98,160,2.382,4.62211186342829,11.9448498755293
"4",4,1.573,252,0.214,-1.21155535068429,11.8003027631135
"5",5,2.999,3334,5.574,-7.65929593871941,11.2587501027541
"6",6,2.973,1081,3.061,1.01801810991625,9.38199218652318
"7",7,2.998,126,0.45,4.30236553160142,10.8833861888482
"8",8,2.999,120,1.024,6.96409914111968,11.1149447950582
"9",9,2.096,1368,1.77,-3.2853735077458,7.68050954856256
"10",10,2.997,327,0.943,9.65124114108572,6.51919750130286
"11",11,2.24,2164,3.608,-5.7775898797501,6.25801750444172
"12",12,2.047,1957,1.79,-0.74005516739577,6.22056979630738
"13",13,2.998,1738,8.072,3.19209869125079,6.10063921907605
"14",14,2.999,3880,6.449,-6.38204394348649,3.81090284502235
"15",15,2.075,29264,5.414,-1.26076085442112,3.7086528306575
"16",16,2.999,6588,6.621,-5.81291559272129,1.91012620294318
"17",17,1.622,22136,2.246,-2.75033558906361,1.75029598253659
"18",18,2.999,4136,9.467,-8.71669736728716,1.23414361173525
"19",19,1.873,180086,4.086,0.766702607989913,1.27990281927701
"20",20,2.999,770,3.192,10.7841368845682,-1.37261513052748
"21",21,1.578,19226,2.219,2.24830473775465,-2.7517746314048
"22",22,2.999,275,1.731,13.769567691364,-3.26946120637144
"23",23,2.994,2470,7.774,-11.5083329397376,-6.27678432704406
"24",24,2.993,235,0.913,-13.5122838031375,-5.79935642494492
"25",25,2.998,8950,7.183,5.2378782668895,-6.75357764106722
"26",26,2.99,3108,6.863,-5.98751628923123,-7.53991501014198
"27",27,2.998,6206,8.627,-9.11716110680721,-8.14708371773826
"28",28,2.989,759,6.647,5.91540514055621,-9.72627551854861
"29",29,2.569,62,1.055,-11.0386048115862,-9.51797830277154
"30",30,2.999,10424,8.817,-3.16719083487251,-10.1050477010244
"31",31,2.403,87,0.486,9.05673907116469,-11.385386342992
"32",32,2.51,75,0.151,10.7905067562783,-9.96985292067707
"33",33,2.996,2809,6.493,-5.67163055948872,-11.0440940191041
"34",34,2.999,6140,9.236,-0.20059371231134,-11.2005977663256
"35",35,2.999,1619,5.779,-7.91484940577833,-11.4219275021359
