"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,2.999,1217,6.979,2.47053283001556,12.7181053123652
"2",2,2.999,5295,7.976,4.43405783083966,11.6483808526086
"3",3,2.957,177,1.353,-14.0924884537915,3.45786999330897
"4",4,2.999,206866,9.425,-1.25930603246152,2.27376055158818
"5",5,2.999,9091,9.266,8.20164864436061,1.70665797057094
"6",6,2.998,2962,5.022,-8.96758685373236,-2.27044625878229
"7",7,2.998,2650,8.254,12.7788959422876,-2.35090345191286
"8",8,2.983,5922,3.825,-5.29591683456483,-3.22522456337872
"9",9,2.999,3786,6.932,8.31377682367501,-3.50245411996919
"10",10,2.999,18173,5.913,1.01262814638336,-4.22829614304732
"11",11,2.852,164,1.373,13.8993639738795,-4.22933861688503
"12",12,2.995,5277,8.319,8.74330601891756,-6.17479703600187
