"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,2.993,375,0.994,-6.88704761097205,12.9390892842226
"2",2,2.999,1769,6.569,2.15206484830103,13.4070818597389
"3",3,2.919,685,0.923,11.1080238153816,9.62960904385511
"4",4,2.999,35078,9.414,1.72814980649393,4.74579013225107
"5",5,2.999,1347,5.96,-12.6248553969441,-0.267620436901202
"6",6,2.997,1949,4.547,-12.1506059934193,-2.18852091122917
"7",7,2.999,7915,9.502,7.19461274562272,-3.26651523191935
"8",8,2.997,1363,5.425,-12.451623807376,-6.02329302877461
"9",9,2.999,1538,3.66,6.44876663601074,-6.91973137435927
"10",10,2.977,645,1.022,-12.5006132941328,-7.64404219840329
"11",11,2.898,1087,4.626,-0.172104543182064,-10.2525440650122
"12",12,2.942,649,1.837,-8.17410044992825,-10.6721768283324
