"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,2.955,90,0.928,4.1538874254803,13.9463532843986
"2",2,2.997,1191,3.668,-11.8486300728187,7.79694132469648
"3",3,2.996,79,1.225,-8.23427743014176,7.2549920566974
"4",4,2.997,2636,3.467,8.06154017726707,5.48678115655274
"5",5,2.999,113531,6.605,1.58831680907842,1.56283463991829
"6",6,2.996,2407,3.161,-8.39433475204546,-0.915852770121914
"7",7,2.982,5766,7.478,7.50768709307033,-1.22494573976801
"8",8,2.999,121001,7.116,1.53878001086805,-1.61754781934979
"9",9,2.987,2044,3.907,-8.89831310106073,-3.13254180925238
"10",10,2.998,19217,6.29,0.639332456931018,-4.26722002173122
"11",11,2.974,1909,3.384,4.94246814871707,-6.54991016766783
"12",12,2.989,1590,3.964,1.12504457360161,-8.11697076879417
"13",13,2.997,3121,7.305,5.17459632382208,-9.03552880714291
