"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,2.999,3810,7.642,-3.08695801920876,9.80536480683373
"2",2,2.999,4448,8.956,-2.20941846208166,7.14851686942417
"3",3,2.991,683,5.185,-10.5769865365086,6.84639147240958
"4",5,2.997,3954,6.46,-12.6792173393699,5.04442057164015
"5",6,2.999,17928,9.215,1.83927788530516,4.82313406659097
"6",7,2.999,23073,9.882,-3.25686499723196,4.23131004902457
"7",8,2.999,14169,8.226,4.53376093382475,3.32046836106962
"8",9,2.946,498,3.609,-10.7604255078682,2.26749786426762
"9",10,2.999,6554,7.454,6.37987639170129,1.52301027984474
"10",11,1.824,373,1.864,10.1840558087248,1.81071686684361
"11",12,2.999,491364,10.055,0.733089187272669,0.744865110146787
"12",13,2.22,6,0.001,-12.770682021753,-3.77371305182342
"13",14,2.999,2078,7.502,-6.38143624759609,-3.06349216834361
"14",15,2.999,18961,8.289,3.19677307741771,-3.02648945625027
"15",16,2.997,944,2.645,10.7725676459231,-3.01928331434773
"16",17,2.999,7103,7.565,-1.59040569479401,-3.44382004626568
"17",18,2.95,387,2.832,-9.76881068985382,-4.18989688693387
"18",19,2.999,1551,6.695,-5.70266836363566,-5.45194698820927
"19",20,2.999,452,3.146,8.09282681256158,-5.57051765551
"20",21,1.952,313,1.279,9.09841856383031,-9.8757717021556
"21",22,2.925,78,1.102,-7.9808318245168,-10.4178607143359
"22",23,0.043,6,0.007,8.03668339610073,-11.5946907232342
"23",24,2.983,621,1.272,2.03290082797098,-14.1190641696508
