"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,2.669,1094,2.433,-5.60246342246422,13.29203866408
"2",2,2.573,684,1.329,-1.68151992624303,12.5321734049891
"3",3,2.835,270,1.006,-12.7569908492483,6.54864492207664
"4",4,2.998,3470,8.692,-8.58604423447132,4.67547422352076
"5",5,2.105,4236,1.553,-2.66396675704806,3.5793475049949
"6",6,2.996,647,2.75,-12.4468836914513,-1.82831931973888
"7",7,2.89,30819,5.661,2.77212094484174,-2.46516032884105
"8",8,2.763,19536,8.57,4.97321320533399,-2.81450751635958
"9",9,2.991,2672,3.336,-8.08397021934082,-6.71929344961401
