"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,2.786,473,1.751,-3.63586253953194,13.5992686542809
"2",2,2.883,1200,2.838,6.44779217205628,11.4278238791644
"3",3,2.998,1540,4.353,-5.94492095199099,10.4954391116542
"4",4,2.462,400,0.425,-11.4195917518363,9.37164790641113
"5",5,2.998,1148,1.931,-13.0543327599583,1.395983121856
"6",6,2.497,1891,2.156,-12.0634969448945,-0.304928546866091
"7",7,2.799,13797,1.839,1.67571576840522,-2.69023850007563
"8",8,1.983,5945,3.882,-0.701307194270179,-5.26754163015204
"9",9,2.925,339,1.005,-1.94527090058854,-12.0216655424698
