"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,2.999,1310,5.408,-3.1792807033472,13.5995238991478
"2",2,2.999,3272,7.605,-1.45576065248932,11.2069425177386
"3",3,2.998,558,3.451,-8.46481701584887,10.5171340242595
"4",4,2.997,507,3.461,9.02448578306911,9.98338165071857
"5",5,2.999,3614,8.187,5.17896657510508,9.61093660961732
"6",6,2.601,337,0.634,-10.2718785598635,9.26485215340089
"7",7,2.993,290,0.069,-7.58893009780544,6.47016762118822
"8",8,2.969,3139,3.055,-4.54605027032582,5.09985155946044
"9",9,2.999,7402,5.911,3.4225883283232,4.73266708040234
"10",10,2.996,1496,3.558,8.97591315109344,3.73666003970601
"11",11,2.999,49377,4.888,-2.97453926488723,1.6490069882811
"12",12,2.998,1995,2.671,-11.4812847410589,0.243753019504965
"13",13,2.416,734,2.228,-13.7774509270131,-4.05264545531253
"14",14,2.497,6073,1.398,-3.11957609697591,-4.09587700428265
"15",15,2.996,1365,3.424,7.63908860895042,-7.44861588012277
"16",16,2.995,1085,5.636,-6.24054105922051,-9.07479610212512
"17",17,2.94,691,1.81,1.10297107679171,-9.31779346656805
"18",18,1.54,35,0.027,7.91107525716705,-11.1796328302075
