"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,1.941,134,0.627,-5.66123639275826,13.4278315970021
"2",14,0.456,131,0.195,-0.260199831667507,8.25133554589835
"3",16,0.424,284,0.198,1.73600226433173,6.78502891519682
"4",17,0.297,143,0.161,-3.21335213446767,6.27178303412054
"5",19,0.584,582,0.231,-1.25721423285065,4.75046640601026
"6",20,0.898,152,1.316,-7.72498698887912,4.22262970499904
"7",21,0.458,522,0.228,0.747030872099427,4.23590792637962
"8",22,1.248,1589,1.342,3.70788545003793,4.18501795191719
"9",23,0.427,287,0.18,-3.79575208257142,3.7939428221013
"10",24,0.841,171,0.133,5.68939398675132,3.71798573199594
"11",25,0.42,479,0.237,-2.24660141401337,3.25198177841696
"12",26,0.162,133,0.206,-6.24274345919303,1.77330749595318
"13",28,0.883,2277,0.237,-2.76086370633536,1.25330573634514
"14",29,0.453,11435,0.247,-0.749132603984456,1.24909155755082
"15",32,1.13,2644,1.597,-5.23996359880944,-0.248978817839619
"16",33,0.334,3312,0.245,1.75207856064819,-0.252440113570863
"17",34,0.498,1066,0.234,3.75248181172048,-0.259542445741297
"18",37,0.723,1358,0.243,-2.25085315860077,-1.75409291574004
"19",39,0.387,1649,0.247,1.74924431554775,-2.2499908078322
"20",40,0.427,149,0.197,-5.26425587880386,-3.21909938871256
"21",42,0.277,114,0.196,-7.23580516893371,-3.77282872064216
"22",43,0.361,178,0.183,7.71514877916786,-3.73555200531172
"23",45,0.274,447,0.229,1.74959681854904,-5.24810564089788
"24",47,0.893,207,0.166,-4.69938163643639,-5.71737653941196
"25",48,0.677,109,0.17,7.75482560526483,-5.73050597345024
"26",49,0.739,244,0.214,-1.74130850405511,-6.74851139588801
"27",50,0.332,106,0.199,1.75494663380116,-6.78005805624025
"28",53,1.413,273,1.381,-9.75586973965191,-7.69121584645237
"29",57,1.213,112,0.195,4.74733945488958,-9.26524491960481
