"","treeID","Z","npoints","convhull_area","X","Y"
"1",3,1.535,884,1.968,2.26154744627231,13.2309716749391
"2",6,1.273,442,1.195,-7.88389030209448,10.2388752521033
"3",12,0.933,348,0.593,-5.91621598758318,8.55049464913856
"4",19,0.788,306,0.234,-9.25087690601252,6.25351175816026
"5",21,0.794,125,0.212,-12.2554133508245,5.74535475453235
"6",30,0.157,100,0.206,8.24786041621171,3.71765353650547
"7",36,1.155,18876,2.236,2.75009926451026,1.25230469786674
"8",39,0.387,120,0.173,10.7887860056649,0.736255007735291
"9",46,0.805,1178,1.731,-11.1535781555095,-0.709016913658041
"10",49,0.743,153,0.148,12.7027794399253,-0.782176348150898
"11",50,0.896,203,0.213,-12.7640362710739,-1.23907701263943
"12",55,0.593,113,0.172,14.2859464822621,-2.75630179720556
"13",61,0.874,195,0.198,-6.71715929065054,-4.74654132150748
"14",68,0.534,109,0.181,-7.2649532644185,-6.7465774876974
"15",77,0.267,107,0.175,-8.25209342490994,-9.71761235045679
