"","treeID","Z","npoints","convhull_area","X","Y"
"1",5,1.061,586,1.152,2.48334112602424,10.1694261678731
"2",10,0.109,120,0.502,1.50381183862632,7.95464125045744
"3",29,1.041,343,1.234,10.7372173468099,2.71075943340204
"4",40,1.94,19374,3.979,-4.72378819720438,-1.7615454086646
"5",43,1.286,267,1.244,-8.04940963865104,-3.15585762317168
"6",44,1.992,56374,5.38,0.192662032100934,-3.2141811643948
"7",47,1.767,23953,4.468,1.95756117556926,-3.7530103660034
"8",51,1.637,1068,1.535,3.2895779964345,-5.06595496195013
"9",52,1.63,1955,1.915,-0.704883766487647,-6.16536863985751
"10",56,0.564,207,0.536,-3.45310564617487,-7.84478617563708
