"","treeID","Z","npoints","convhull_area","X","Y"
"1",6,0.269,140,0.153,-3.76192056041208,8.24198035554569
"2",10,0.442,248,0.201,-4.75130609811694,6.7555084588278
"3",14,0.664,169,0.932,5.67152047719958,6.27378784365791
"4",16,0.911,559,0.231,-1.25842379643656,5.25643194690904
"5",17,0.418,259,0.218,3.73880559328671,4.76814569604802
"6",20,0.966,3555,1.544,1.23762424476308,4.23334695881266
"7",22,0.696,441,1.352,5.69735481920129,3.7386067153014
"8",23,0.943,3258,1.556,-3.27673432744464,3.25795946855612
"9",24,0.299,1789,0.233,-1.25647997502837,2.75366336029037
"10",25,0.959,3652,1.594,3.23192658612442,2.26770212934845
"11",27,0.817,26445,1.699,-1.75616194219209,1.26021905994813
"12",30,0.43,510,0.183,-11.7952082262211,-0.236438336999256
"13",31,0.543,182,0.184,-8.76786493261817,-0.214390795562519
"14",33,1.133,4826,1.584,-3.75695673758865,-1.22354541343098
"15",34,1.006,10737,1.684,-1.75979336388744,-1.25121681500913
"16",36,1.082,7201,1.6,2.21865144234224,-1.72001234634625
"17",39,1.872,2078,1.896,10.2336234847235,-2.69360581735778
"18",41,0.479,220,0.877,12.7406681518494,-3.11624666427912
"19",42,1.164,2887,1.504,-0.710808333142199,-3.70126331670964
"20",44,0.666,280,0.152,-8.81640949281383,-4.76432142735944
"21",49,1.03,1056,0.816,-8.03187449858559,-7.4715837634964
"22",62,0.301,111,0.497,-7.56009638581281,-11.9066512808907
