"","treeID","Z","npoints","convhull_area","X","Y"
"1",7,1.684,1510,2.108,-5.2599623924898,8.72931449570244
"2",8,1.286,216,1.318,-8.83916875306531,8.21695915961433
"3",19,1.669,2915,1.902,-6.79773449503122,4.66848489131154
"4",22,1.336,1022,2.041,-10.7615983671054,2.72105421049184
"5",26,0.903,4588,1.92,3.68911490666433,1.80818384458573
"6",28,0.967,639,1.455,-7.69519042643841,1.26303122328588
"7",33,1.388,195,0.595,-14.1233068898632,-1.44875913751328
"8",34,1.074,6730,3.944,-4.7170709215425,-1.24531383172752
"9",37,1.313,848,1.967,-11.7077920267156,-1.70053643734972
"10",40,1.256,493,1.214,-13.1987099223694,-2.81771576138389
"11",43,1.018,189,1.836,-8.75992590194313,-5.26245817569286
"12",57,1.47,762,1.777,-6.32130779274133,-10.6757043783872
"13",60,1.135,303,1.353,-2.23895275890465,-12.2805049314379
"14",62,1.222,412,0.835,-3.69353073230399,-12.6975396881305
"15",64,1.416,256,0.564,-2.06822996139375,-14.1247352891392
