"","treeID","Z","npoints","convhull_area","X","Y"
"1",4,1.499,206,2.058,0.360787731550891,12.0835818623956
"2",16,1.014,146,0.924,10.7352208489257,4.63871137700355
"3",22,1.046,432,1.195,9.26671983168834,3.21399739152352
"4",38,1.221,1712,1.505,6.70807141044506,0.757727153744037
"5",44,1.394,5198,1.985,5.17563917514173,-1.24385800753581
"6",49,1.397,39703,2.244,1.24899536015596,-2.24958741138596
"7",54,1.329,7452,2.163,-3.22972687819758,-4.22989123740003
"8",55,1.052,3407,1.618,-0.745334768597511,-4.23508674320585
"9",56,0.332,224,0.195,3.21707996122428,-4.27392897055083
"10",57,0.612,178,0.163,7.2789019757228,-4.31288406171087
"11",59,0.494,151,0.139,1.19400404193144,-4.77991392654198
"12",60,0.36,119,0.15,10.7189780348714,-5.25210991701097
"13",62,1.255,6947,2.133,-2.7340610261351,-5.72169597936509
"14",65,1.49,507,1.341,-1.2158329523416,-7.2375548654198
"15",68,0.52,112,0.139,7.69669328979263,-8.69360481177517
