"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,2.762,1411,4.479,1.70765096097845,10.5896957736089
"2",2,2.998,3667,9.626,4.71786824698829,8.73164443088983
"3",3,2.998,19211,9.011,3.36004233100739,4.84971199313379
"4",4,2.969,1041,4.216,-10.90909674055,-1.00527530076825
"5",5,2.998,37878,6.445,2.9984916968572,-1.43149699987616
"6",6,2.996,1784,6.252,-10.0266118682082,-2.81288552136957
"7",7,2.996,19096,7.384,0.737943473216242,-5.00986233013194
"8",8,2.987,3951,8.291,5.78808209262706,-6.51910802923529
"9",9,2.884,933,2.129,-10.6934549028504,-7.43830839794334
"10",10,2.068,301,0.701,3.54454107552031,-9.64381843368797
"11",11,2.078,125,0.441,-7.14276938161076,-12.8336857249169
