"","treeID","Z","npoints","convhull_area","X","Y"
"1",7,0.499,850,0.714,1.0379004993826,8.91748156213746
"2",9,0.359,429,0.215,3.24450078185478,6.74514197863446
"3",12,1.938,405,0.694,-13.3345959433728,5.56365726666071
"4",14,0.482,127,0.156,8.2900480122979,5.72618929217841
"5",15,0.704,904,0.231,1.74402209025186,4.25248678313231
"6",16,0.887,584,0.206,4.2698753057381,4.26768878165491
"7",17,0.567,1118,0.216,1.2573996832611,2.73042236460802
"8",18,0.55,775,1.581,-7.76911625291496,2.26182191101139
"9",20,0.457,1583,0.621,-5.35786015799045,1.90775259223224
"10",21,0.297,397,0.238,6.24519273017105,1.75102858431303
"11",22,0.518,3108,0.247,-2.7505900307684,0.74955363845612
"12",24,0.241,122,0.215,9.76343537282063,-0.24983566804121
"13",25,0.454,423,0.22,-8.24137209650866,-0.756132182798751
"14",26,0.268,318,0.226,-4.73750801462919,-1.25757103771929
"15",27,0.637,13483,0.227,0.265487275254252,-1.25316883010876
"16",28,0.447,1447,0.245,3.74669899150581,-1.24749361490953
"17",29,0.347,493,0.208,5.74878891219783,-1.73894787491259
"18",32,0.361,185,0.166,-9.76734076619006,-4.7169837334557
"19",34,0.383,366,0.226,-3.23734474568159,-4.75838909076406
"20",37,0.492,233,0.189,4.24229078311822,-5.70181646123121
