"","treeID","Z","npoints","convhull_area","X","Y"
"1",8,1.346,122,0.212,-10.6911236999039,9.35078338247948
"2",14,1.719,1201,1.732,-6.14982863359767,5.29854884057983
"3",23,0.57,754,1.369,-5.7123974207779,1.71340456136801
"4",33,0.593,2016,1.499,-6.20776777142791,-0.213411986850183
"5",45,0.446,325,0.184,-4.76265475954744,-5.22324009269632
"6",46,0.434,118,0.187,-2.7316784944688,-5.24062154766858
"7",47,0.434,919,1.228,-7.96961049452688,-6.14295877680438
"8",52,0.533,177,0.205,-6.22403672062423,-7.74826914125547
"9",54,0.632,301,0.223,-2.23541431348866,-9.24376690928085
"10",55,0.408,139,0.173,-4.22300695663575,-9.75356043336293
"11",56,0.617,135,0.214,-1.76884595727497,-10.238307384618
