"","treeID","Z","npoints","convhull_area","X","Y"
"1",1,1.685,24,0.034,-1.63774769989755,14.2336291886731
"2",2,2.997,390,0.28,-2.19845584510432,9.08144120404788
"3",3,2.999,9222,7.551,-0.712603804485816,9.26908222819317
"4",4,2.999,20605,8.287,-7.31108396820451,5.64906116247564
"5",5,2.999,87393,8.926,-1.12794136822688,4.25052418874214
"6",6,2.999,36830,7.484,-3.68255331691897,3.72531287443299
"7",7,1.814,4788,1.979,-8.73869608291419,-1.80413630182032
"8",8,2.999,20110,8.632,3.27052585399193,-5.96019127776956
"9",9,2.995,23,0.414,-11.3584323268109,-8.4857450084145
"10",10,2.998,1092,4.032,-9.89198252781504,-8.4434559001443
"11",11,2.996,769,4.043,-6.30884703565741,-8.69791562846566
"12",12,2.307,31,0.207,-4.02243382985014,-9.91250334703729
